Zip code,Type,County,Population,Area Code(s)
14201,Standard,Erie,11549,716
14202,Standard,Erie,3911,716
14203,Standard,Erie,1618,716
14204,Standard,Erie,8691,716
14205,P.O. Box,Erie,0,716
14206,Standard,Erie,20751,716
14207,Standard,Erie,23552,716
14208,Standard,Erie,11125,716
14209,Standard,Erie,7926,716
14210,Standard,Erie,14694,716
14211,Standard,Erie,22611,716
14212,Standard,Erie,10641,716
14213,Standard,Erie,24465,716
14214,Standard,Erie,19775,716
14215,Standard,Erie,39999,716
14216,Standard,Erie,22431,716
14217,Standard,Erie,23480,716
14218,Standard,Erie,19039,716
14219,Standard,Erie,11536,716
14220,Standard,Erie,24227,716
14221,Standard,Erie,53555,716
14222,Standard,Erie,14046,716
14223,Standard,Erie,22665,716
14224,Standard,Erie,39889,716
14225,Standard,Erie,33385,716
14226,Standard,Erie,29267,716
14227,Standard,Erie,23426,716
14228,Standard,Erie,20857,716
14231,P.O. Box,Erie,0,716
14233,Unique,Erie,0,716
14240,P.O. Box,Erie,0,716
14241,Unique,Erie,0,716
14260,Unique,Erie,0,716
14261,Unique,Erie,5713,716
14263,Unique,Erie,0,716
14264,Unique,Erie,0,716
14265,Unique,Erie,0,716
14267,Unique,Erie,0,716
14269,Unique,Erie,0,716
14270,Unique,Erie,0,716
14272,Unique,Erie,0,716
14273,Unique,Erie,0,716
14276,Unique,Erie,0,716
14280,Unique,Erie,0,716
