Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
14201,Buffalo,NY,42.896407,-78.88515,-5,1,"42.896407,-78.88515"
14202,Buffalo,NY,42.886357,-78.8779,-5,1,"42.886357,-78.8779"
14203,Buffalo,NY,42.880107,-78.8699,-5,1,"42.880107,-78.8699"
14204,Buffalo,NY,42.884008,-78.86152,-5,1,"42.884008,-78.86152"
14205,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14206,Buffalo,NY,42.880105,-78.81049,-5,1,"42.880105,-78.81049"
14207,Buffalo,NY,42.94722,-78.89694,-5,1,"42.94722,-78.89694"
14208,Buffalo,NY,42.914307,-78.85072,-5,1,"42.914307,-78.85072"
14209,Buffalo,NY,42.913257,-78.86612,-5,1,"42.913257,-78.86612"
14210,Buffalo,NY,42.866708,-78.83139,-5,1,"42.866708,-78.83139"
14211,Buffalo,NY,42.907358,-78.82355,-5,1,"42.907358,-78.82355"
14212,Buffalo,NY,42.894758,-78.82303,-5,1,"42.894758,-78.82303"
14213,Buffalo,NY,42.916057,-78.8915,-5,1,"42.916057,-78.8915"
14214,Buffalo,NY,42.941407,-78.83741,-5,1,"42.941407,-78.83741"
14215,Buffalo,NY,42.934757,-78.8118,-5,1,"42.934757,-78.8118"
14216,Buffalo,NY,42.949707,-78.85923,-5,1,"42.949707,-78.85923"
14217,Buffalo,NY,42.968707,-78.8745,-5,1,"42.968707,-78.8745"
14218,Buffalo,NY,42.821008,-78.82448,-5,1,"42.821008,-78.82448"
14219,Buffalo,NY,42.790708,-78.82717,-5,1,"42.790708,-78.82717"
14220,Buffalo,NY,42.845758,-78.8187,-5,1,"42.845758,-78.8187"
14221,Buffalo,NY,42.977456,-78.73356,-5,1,"42.977456,-78.73356"
14222,Buffalo,NY,42.917657,-78.8779,-5,1,"42.917657,-78.8779"
14223,Buffalo,NY,42.972207,-78.84234,-5,1,"42.972207,-78.84234"
14224,Buffalo,NY,42.836858,-78.75557,-5,1,"42.836858,-78.75557"
14225,Buffalo,NY,42.929891,-78.75813,-5,1,"42.929891,-78.75813"
14226,Buffalo,NY,42.968057,-78.80047,-5,1,"42.968057,-78.80047"
14227,Buffalo,NY,42.881372,-78.74466,-5,1,"42.881372,-78.74466"
14228,Buffalo,NY,43.023347,-78.79494,-5,1,"43.023347,-78.79494"
14231,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14233,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14240,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14241,Buffalo,NY,42.938258,-78.744053,-5,1,"42.938258,-78.744053"
14260,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14261,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14263,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14264,Buffalo,NY,42.885568,-78.873479,-5,1,"42.885568,-78.873479"
14265,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14267,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14269,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14270,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14272,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14273,Buffalo,NY,42.75495,-78.784908,-5,1,"42.75495,-78.784908"
14276,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
14280,Buffalo,NY,42.768413,-78.887094,-5,1,"42.768413,-78.887094"
